id,url,name,description,num_stars,num_forks,num_issues,num_commits,num_contributors,active_days,last_commit_at,num_functions,used_platforms,used_frameworks,num_packages,num_published_packages,num_faas_handlers,num_faas_runtime_dependencies
31708026,https://github.com/awslabs/aws-lambda-redshift-loader,aws-lambda-redshift-loader,Amazon Redshift Database Loader implemented in AWS Lambda,596,172,247,347,25,3053,2023-07-14T11:22:06Z,2,aws,aws_cloudformation_and_sam,1,0,2,0
40998988,https://github.com/graphql/swapi-graphql,swapi-graphql,A GraphQL schema and server wrapping SWAPI.,1032,275,225,315,25,2906,2023-08-05T17:56:34Z,3,netlify,netlify,1,0,3,0
43688202,https://github.com/devuxd/SeeCodeRun,SeeCodeRun,Live pastebin for JavaScript,30,5,262,772,16,3026,2024-01-17T21:37:56Z,4,firebase,firebase,3,0,0,1
51200755,https://github.com/soruly/anilist-chinese,anilist-chinese,Translate anime titles on anilist.co to Chinese,38,5,181,1559,7,3009,2024-05-03T15:51:05Z,2,cloudflare,wrangler,1,0,0,0
51304121,https://github.com/uvasoftware/scanii-lambda,scanii-lambda,A Sam-Packaged AWS Lambda client to the scanii.com content processing service,26,10,79,105,5,3017,2024-03-24T14:31:10Z,2,aws,aws_cloudformation_and_sam,1,0,2,0
65331015,https://github.com/zeplin/zeplin-html-to-pdf,zeplin-html-to-pdf,AWS Lambda function that converts HTML pages to PDF documents,123,49,42,61,8,2827,2024-05-07T08:20:38Z,1,aws,aws_cloudformation_and_sam,1,0,1,0
74162100,https://github.com/openhab/openhab-alexa,openhab-alexa,openHAB skill for Amazon Alexa,151,89,676,582,20,2657,2024-02-27T21:05:01Z,1,aws,aws_cloudformation_and_sam,1,0,1,0
77871523,https://github.com/SumoLogic/sumologic-azure-function,sumologic-azure-function,A collection of Azure functions to collect data and send to Sumo Logic cloud service,8,23,104,408,13,2647,2024-04-03T08:38:15Z,15,azure,azure_functions;azure_resource_manager,6,0,0,0
78063990,https://github.com/gladly-team/tab,tab,Tab for a Cause – the easiest way to do good every day,107,21,1660,7888,12,2663,2024-04-21T05:17:21Z,2,aws,aws_cloudformation_and_sam;serverless,7,0,12,0
79137062,https://github.com/DFEAGILEDEVOPS/MTC,MTC,Multiplication Tables,11,14,2790,3221,13,2675,2024-05-14T15:48:36Z,41,azure,azure_durable_functions;azure_functions,22,0,0,0
80081690,https://github.com/mojodna/osm-pds-pipelines,osm-pds-pipelines,OSM PDS pipeline,31,4,47,110,2,2373,2023-07-26T18:26:13Z,1,aws,aws_cloudformation_and_sam,4,0,0,0
81687993,https://github.com/hammerspacecouk/tubealert.co.uk,tubealert.co.uk,React Website and Lambda functions for https://www.tubealert.co.uk,21,1,48,64,2,2170,2023-01-21T20:00:02Z,7,aws,serverless,1,0,0,0
81742092,https://github.com/FullStackBulletin/automation,automation,Serverless Step Function that generates a draft of a newsletter issue every week,8,1,90,87,2,2598,2024-03-25T19:32:39Z,6,aws,aws_cloudformation_and_sam,3,0,0,0
83508852,https://github.com/k1LoW/backslack,backslack,Bridge between Backlog and Slack,5,2,12,31,2,2574,2024-03-17T22:37:27Z,1,aws,serverless,1,0,0,1
85400340,https://github.com/lobbywatch/website,website,Lobbywatch Frontend,10,1,67,617,3,2516,2023-12-05T14:23:58Z,1,vercel,vercel,1,0,0,0
86199061,https://github.com/matthewberryman/bots,bots,Matthew's Mastodon and BlueSky bots,23,2,23,428,3,2593,2024-05-01T05:32:42Z,2,aws,serverless,1,0,1,0
86292857,https://github.com/ProgressiveMass/legislator-scorecard,legislator-scorecard,🗳️ Explore MA state representatives' voting records,19,8,122,423,8,2626,2024-05-14T17:29:44Z,2,firebase,firebase,2,0,0,1
86351030,https://github.com/alexcasalboni/aws-lambda-power-tuning,aws-lambda-power-tuning,"AWS Lambda Power Tuning is an open-source tool that can help you visualize and fine-tune the memory/power configuration of Lambda functions. It runs in your own AWS account - powered by AWS Step Functions - and it supports three optimization strategies: cost, speed, and balanced.",5093,357,248,764,29,2599,2024-05-08T08:43:19Z,10,aws,aws_cloudformation_and_sam;terraform,3,0,5,0
90200017,https://github.com/alexlitel/congresstweets-automator,congresstweets-automator,Self-updating Node app collecting Congress' daily Twitter output and compiling into publicly accessible form.,25,14,14,289,2,2312,2023-10-18T01:05:12Z,3,aws,serverless,1,0,3,0
95741950,https://github.com/jpsim/AWSPics,AWSPics,An AWS CloudFormation stack to run a serverless password-protected photo gallery,217,60,55,190,9,2647,2024-04-23T12:31:59Z,3,aws,aws_cloudformation_and_sam,5,0,6,0
95924889,https://github.com/wip/app,app,The WIP GitHub App,721,166,673,700,30,2418,2024-02-12T16:22:24Z,1,vercel,vercel,1,0,0,0
96363691,https://github.com/mozilla/infosec.mozilla.org,infosec.mozilla.org,"Guidelines, principles published on https://infosec.mozilla.org",89,61,190,390,39,2449,2024-03-19T22:01:10Z,1,aws,aws_cloudformation_and_sam,0,0,0,0
96460692,https://github.com/mpigsley/sectors-without-number,sectors-without-number,"A random, revised edition compliant, stars without number sector generator",105,31,267,1467,10,2461,2023-12-21T21:34:55Z,3,firebase,firebase,2,0,0,1
97884455,https://github.com/architect/arc.codes,arc.codes,The Architect web site! 🌩,312,94,742,868,41,1315,2024-05-14T21:34:04Z,3,aws,architect,1,0,1,1
103669759,https://github.com/silinternational/serverless-mfa-api,serverless-mfa-api,A Serverless API for registering and validating Multi-Factor Authentication methods. Currently supports Time-based One Time Passwords (TOTP) and FIDO U2F devices (YubiKeys).,12,8,151,446,7,2425,2024-05-06T20:31:55Z,10,aws,serverless,1,0,0,0
105408490,https://github.com/ZenUml/web-sequence,web-sequence,Realtime tool for generating sequence diagrams.,93,19,708,2017,31,2920,2024-04-30T12:36:46Z,2,firebase,firebase,4,0,0,1
106601228,https://github.com/octalmage/jason.stallin.gs,jason.stallin.gs,My personal website.,6,1,132,291,3,2023,2023-04-26T20:57:27Z,2,firebase,firebase,4,0,0,1
107733399,https://github.com/LeoPlatform/bus,bus,Kafka-like functionality in AWS Serverless Cloud,8,12,43,113,9,2086,2023-07-07T20:44:20Z,3,aws,aws_cloudformation_and_sam,13,0,28,0
108839908,https://github.com/cloudconformity/auto-remediate,auto-remediate,Cloud Conformity Auto Remediate,152,57,141,458,25,2289,2024-02-05T03:47:30Z,48,aws,serverless,1,0,39,0
109264409,https://github.com/CityOfDetroit/ddot-info,ddot-info,Find schedules and real-time data for DDOT buses,8,4,149,677,5,2338,2024-04-16T13:35:05Z,4,netlify,netlify,1,0,4,0
110032930,https://github.com/bpetetot/conference-hall,conference-hall,📣  An open SaaS platform to manage call for papers,131,46,998,517,26,2048,2023-06-18T13:32:14Z,15,firebase,firebase,3,0,0,1
110349686,https://github.com/Glifery/cors-proxy,cors-proxy,Simple AWS Lambda based proxy server for making CORS requests from browser to any HTTP server,48,30,35,14,5,2081,2023-07-24T20:02:51Z,1,aws,serverless,1,0,0,1
113221178,https://github.com/NYPL/firehose-avro-to-json-transformer,firehose-avro-to-json-transformer,Transform records from a Kinesis Firehose stream from Avro encoded JSON to JSON.,5,0,9,41,3,1925,2023-03-15T17:59:08Z,2,aws,aws_cloudformation_and_sam;terraform,1,0,0,0
113489929,https://github.com/matthewturner/alexa-salus-it500,alexa-salus-it500,Alexa Skill to control Salus IT500 Thermostat,10,4,45,107,2,2429,2023-09-05T18:55:29Z,1,aws,aws_cloudformation_and_sam,1,0,3,0
115898553,https://github.com/evanchiu/serverless-galleria,serverless-galleria,Serverless batch photo manipulation and publishing,173,82,77,62,2,2137,2023-11-08T05:12:28Z,8,aws,aws_cloudformation_and_sam,10,0,0,0
117132991,https://github.com/internetarchive/internet-archive-voice-apps,internet-archive-voice-apps,"Voice Apps (Actions on Google, Alexa Skill) of Internet Archive. Just say: ""Ok Google, Ask Internet Archive to Play Jazz"" or ""Alexa, Ask Internet Internet Archive to play Instrumental Music""",45,45,595,1607,10,2213,2024-02-06T15:38:42Z,3,firebase,firebase,5,0,1,1
117572226,https://github.com/dschep/bikehero,bikehero,🚲🔧 A webapp for crowd-sourced Fixit-stands & bike pumps,8,2,684,273,4,1819,2023-01-08T21:25:53Z,3,aws,serverless,1,0,0,0
119272562,https://github.com/streetlives/streetlives-api,streetlives-api,The Streetlives backend providing the API for accessing data,5,1,102,167,6,2299,2024-05-15T04:02:08Z,1,aws,aws_cloudformation_and_sam,1,0,1,0
120518359,https://github.com/jsetton/alexa-aftership,alexa-aftership,Unofficial Alexa Skill for AfterShip Shipment Tracking Platform,7,1,34,27,-1,2162,2024-01-08T19:56:22Z,2,aws,alexa_skills_kit;aws_cloudformation_and_sam,1,0,1,0
121425707,https://github.com/ys/bonjour,bonjour,🌊,5,3,371,1892,4,550,2024-05-15T06:02:57Z,2,vercel,vercel,1,0,0,0
127193762,https://github.com/Cimpress-MCP/Platform-Authorizer,Platform-Authorizer,It Authorizes… on the Platform™!,5,2,42,117,-1,2086,2023-08-29T12:00:53Z,1,aws,aws_cloudformation_and_sam,1,0,0,0
133889523,https://github.com/OSU-Sustainability-Office/energy-dashboard,energy-dashboard,Oregon State University's energy dashboard.,11,0,328,922,8,2188,2024-05-13T18:52:35Z,45,aws,aws_cloudformation_and_sam,4,0,0,0
136450996,https://github.com/wdr-data/code4maus,code4maus,Grafische Programmierumgebung. Zum spielerischen Erlernen von Programmierkonzepten. Basiert auf Scratch vom MIT,114,9,115,3738,54,2626,2023-11-24T14:37:01Z,3,netlify;aws,netlify;serverless;aws_cloudformation_and_sam,1,0,3,0
141143250,https://github.com/SvanBoxel/delete-merged-branch,delete-merged-branch,"No more manually deleting merged branches, this lovely app does it for you.",318,57,256,236,10,1652,2023-01-23T11:49:04Z,1,aws,serverless,1,0,0,0
143042959,https://github.com/vmware/vmware-log-collectors-for-public-cloud,vmware-log-collectors-for-public-cloud,Log collectors that send logs in AWS CloudWatch and CloudTrail to VMware Log Intelligence.,10,22,87,179,12,2024,2024-02-14T14:30:21Z,8,aws;azure,azure_functions;azure_resource_manager;aws_cloudformation_and_sam,2,0,0,0
146858800,https://github.com/TimothyJones/github-cognito-openid-wrapper,github-cognito-openid-wrapper,Small shim that allows AWS Cognito to talk to github (by providing an OpenID wrapper around the Github API),302,91,129,283,14,1958,2024-01-08T09:16:50Z,5,aws,aws_cloudformation_and_sam,1,0,5,0
147711376,https://github.com/marcomontalbano/video-to-markdown,video-to-markdown,How to embed a video in markdown? Here the answer. Add videos to your markdown files easier.,198,26,66,162,2,2078,2024-05-15T19:56:51Z,1,netlify,netlify,1,0,1,0
147964241,https://github.com/slurpcode/slurp,slurp,One repo to rule them all !!?!?!! 🤓 😎,53,76,2654,2430,59,2039,2024-04-08T15:31:02Z,2,cloudflare,wrangler,3,0,0,0
148097613,https://github.com/uilicious/inboxkitten,inboxkitten,Disposable email inbox powered by serverless mailgun kittens,516,64,92,343,3,1846,2023-09-25T18:16:40Z,2,firebase,firebase,2,0,0,1
149018277,https://github.com/zfoh/zureg,zureg,ZuriHac registration system,22,8,67,143,8,2078,2024-05-13T07:27:55Z,2,aws,aws_cloudformation_and_sam,0,0,0,0
150045679,https://github.com/petercunha/tts,tts,:pencil: :sound: A simple text-to-speech tool. Converts your text to speech with any of StreamElements voices. Frontend built with Gatsby.,156,32,29,100,2,1975,2024-02-20T01:39:03Z,1,cloudflare,wrangler,2,0,0,0
150903211,https://github.com/random-mdn/random-mdn-bot,random-mdn-bot,Serverless functions tweeting/sending/... random MDN articles,14,5,29,28,4,1665,2023-04-22T06:41:33Z,1,aws,serverless,1,0,0,1
153654428,https://github.com/MobilityData/gbfs-validator,gbfs-validator,"The canonical GBFS validator. Maintained by the GBFS community, facilitated by MobilityData.",16,12,183,218,19,2008,2024-04-17T15:04:45Z,2,netlify,netlify,5,0,4,0
153702594,https://github.com/change/longlinks,longlinks,Serverless link shortener using Lambda for link creation and S3 for link storage and redirection,7,1,35,106,3,1847,2023-11-08T17:31:32Z,1,aws,serverless,1,0,0,0
158478570,https://github.com/khilnani/textchart.com,textchart.com,"Diagrams as code - A simple mobile first editor for UML diagrams built using AWS Lambda, Google Cloud Kubernetes, DynamoDB etc. ",13,0,25,305,-1,1638,2023-05-16T21:43:28Z,2,aws,serverless,2,0,0,0
159531430,https://github.com/logzio/logzio-azure-serverless,logzio-azure-serverless,Azure function that ships Logs to logz.io,10,12,68,236,13,1916,2024-02-26T08:34:05Z,3,azure,azure_functions;azure_resource_manager,2,0,0,0
162599694,https://github.com/duyet/pricetrack,pricetrack,"Price tracker monitors of products and alerts you when prices drop. Supported tiki.vn, shopee, lotte.vn, ... Built with firebase https://pricetrack.web.app",119,46,627,789,5,1703,2023-08-19T12:31:20Z,10,firebase,firebase,3,0,0,1
165275503,https://github.com/Adyen/adyen-commercetools,adyen-commercetools,commercetools-adyen-integration provides an integration between the commercetools and Adyen payment service provider based on the concept of Adyen Web Components.,43,45,1157,1762,32,1943,2024-05-07T11:39:24Z,2,azure,azure_functions,2,0,1,0
167687164,https://github.com/ppkavinda/drive-torrent,drive-torrent,torrents to GDrive,20,24,111,162,3,1731,2023-10-23T18:38:11Z,2,firebase,firebase,3,0,0,1
168596957,https://github.com/frankadrian/lambda-sitemap-generator,lambda-sitemap-generator,NodeJS Lambda Function to generate set of urls from mysql,8,2,5,15,2,1578,2023-05-28T14:50:23Z,1,aws,serverless,1,0,0,0
169488969,https://github.com/microsoft/typescript-bot-test-triggerer,typescript-bot-test-triggerer,A quick azure function for reading comments on the TypeScript repo and then doing things like running tests,13,10,48,148,9,2112,2024-05-15T03:34:08Z,1,azure,azure_functions,1,0,0,1
174898772,https://github.com/amits97/naadan-chords,naadan-chords,Source code for Naadan Chords - A platform for guitarists,11,1,215,1056,2,1877,2024-04-30T09:39:10Z,49,aws,aws_cloudformation_and_sam;serverless,10,0,6,1
175176369,https://github.com/lumigo-io/SAR-Lambda-Janitor,SAR-Lambda-Janitor,"Cron job for deleting old, unused versions of your Function",132,39,62,69,6,1633,2023-08-31T12:39:42Z,1,aws,aws_cloudformation_and_sam,1,0,1,0
175388220,https://github.com/lumigo-io/SAR-Logging,SAR-Logging,Serverless applications for managing CloudWatch Logs log groups for your Lambda functions.,66,16,94,166,9,1695,2023-11-02T22:07:49Z,5,aws,aws_cloudformation_and_sam,3,0,0,0
178646139,https://github.com/home-assistant/mobile-apps-fcm-push,mobile-apps-fcm-push,Push Notification Sender for Home Assistant official mobile apps,23,27,134,164,17,1818,2024-03-22T10:46:02Z,2,firebase,firebase,1,0,0,1
179146389,https://github.com/deeheber/text-to-speech-converter,text-to-speech-converter,A serverless application that converts blobs of text to speech in an audio file,11,7,62,172,-1,1743,2024-01-10T02:27:36Z,5,aws,aws_cloudformation_and_sam,6,0,5,0
179227351,https://github.com/ned-kelly/backup-and-bcp-for-aws,backup-and-bcp-for-aws,"A collection of scripts & tooling that's executed from Lambda to backup your AWS Services such as Route53, EBS, RDS, EFS, etc into a S3 bucket allowing you to sync into Google Cloud for Business Continuity. ",159,23,30,20,2,1413,2023-02-14T01:00:21Z,7,aws,serverless,1,0,5,0
180730354,https://github.com/MozillaReality/photomnemonic,photomnemonic,Simple AWS Lambda service for grabbing web screenshots,10,7,27,46,3,1450,2023-03-30T20:16:58Z,3,aws,aws_cloudformation_and_sam;serverless,1,0,1,0
181519971,https://github.com/thirdandgrove/thirdandgrove-com-gatsby,thirdandgrove-com-gatsby,Gatsby frontend for our Decoupled TAGv5,94,26,690,2436,23,1851,2024-05-09T16:45:15Z,2,netlify,netlify,2,0,4,0
181920217,https://github.com/adobe/aio-tvm,aio-tvm,"Token Vending Machine, integrate external cloud services into I/O Runtime",12,13,167,141,8,1825,2024-04-24T16:07:04Z,5,openwhisk,openwhisk,1,0,0,0
183087684,https://github.com/awslabs/aws-streaming-media-analytics,aws-streaming-media-analytics,AWS Streaming Media Analytics is a serverless end-to-end solution for analyzing the video streaming experience,39,15,32,115,5,1604,2023-09-14T06:34:47Z,4,aws,aws_cloudformation_and_sam,6,0,5,0
186109349,https://github.com/ownstats/ownstats,ownstats,"Host your own website statistics on AWS via CloudFront, S3, Glue and Athena. Use the analytics tool of your choice",45,4,9,60,-1,1469,2023-05-19T12:51:21Z,3,aws,aws_cloudformation_and_sam;serverless,1,0,3,0
191229076,https://github.com/awslabs/aws-sync-routes,aws-sync-routes,Synchronizes the specified route from the main/default route table to all custom route tables in the VPC.,17,15,19,104,3,1753,2024-03-28T18:18:10Z,1,aws,aws_cloudformation_and_sam,1,0,1,0
192655573,https://github.com/samvera/serverless-iiif,serverless-iiif,IIIF Image API 2.1 & 3.0 server in an AWS Serverless Application,67,21,139,210,12,1742,2024-03-25T21:31:59Z,3,aws,aws_cloudformation_and_sam,3,0,0,0
193235025,https://github.com/airqo-platform/AirQo-api,AirQo-api,This repo contains API definitions for the AirQo platform,20,16,3183,16755,25,1788,2024-05-14T23:02:11Z,3,firebase,firebase,8,0,0,1
196472570,https://github.com/FormidableLabs/badges,badges,More advanced badges for your projects using Travis or Sauce Labs.,5,1,116,162,10,3073,2024-04-23T16:47:56Z,1,aws,serverless,1,0,1,0
199078599,https://github.com/ApayRus/frazy,frazy,Educational player with phrasal playback and parallel multi-language subtitles. Online subtitles/captions editor. ,16,4,85,502,2,1676,2024-02-18T10:58:54Z,1,firebase,firebase,2,0,0,1
202357619,https://github.com/newrelic/nr1-cloud-optimize,nr1-cloud-optimize,"NR1 Cloud Optimize allows you to Identify right-sizing opportunities and potential savings of your AWS, GCP, and Azure instances across your cloud environment.",48,37,154,350,25,1705,2024-04-26T04:16:11Z,3,aws,serverless,3,0,2,0
206008476,https://github.com/GoogleCloudPlatform/datashare-toolkit,datashare-toolkit,DIY commercial datasets on Google Cloud Platform,85,24,702,380,7,1173,2023-01-09T19:11:43Z,1,gcp,gcp_functions;terraform,5,0,0,1
